CHANNEL node 2 VANAROSEN
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 4.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2026 5 7 0 2.6400 0.01331414 0.6083 0.0000 
2026 5 7 1 0.0000 0.01095853 0.6543 0.0000 
2026 5 7 2 0.0000 0.00836845 0.7195 0.0000 
2026 5 7 3 0.0000 0.00592669 0.6783 0.0000 
2026 5 7 4 4.0000 0.01797667 0.6528 0.0000 
2026 5 7 5 4.0000 0.02915486 0.8949 0.0000 
2026 5 7 6 4.0000 0.03836755 1.4409 0.0000 
2026 5 7 7 0.0000 0.03118565 1.9950 0.0000 
2026 5 7 8 4.0000 0.03730348 2.3006 0.0000 
2026 5 7 9 0.0000 0.02877196 2.3699 0.0000 
2026 5 7 10 0.0000 0.02078466 2.2187 0.0000 
2026 5 7 11 0.0000 0.01412602 1.8496 0.0000 
2026 5 7 12 4.0000 0.02316216 1.4900 0.0000 
2026 5 7 13 0.0000 0.01829863 1.3510 0.0000 
2026 5 7 14 4.0000 0.02763560 1.4064 0.0000 
2026 5 7 15 3.4000 0.03401642 1.6276 0.0000 
2026 5 7 16 4.0000 0.04118416 2.0090 0.0000 
2026 5 7 17 3.0800 0.04348550 2.4407 0.0000 
2026 5 7 18 4.0000 0.04777091 2.8096 0.0000 
2026 5 7 19 4.0000 0.05099911 3.1033 0.0000 
2026 5 7 20 4.0000 0.05333772 3.3504 0.0000 
2026 5 7 21 4.0000 0.05494252 3.5542 0.0000 
2026 5 7 22 4.0000 0.05599149 3.7086 0.0000 
2026 5 7 23 4.0000 0.05665023 3.8170 0.0000 
2026 5 8 0 4.0000 0.05705071 3.8888 0.0000 
2026 5 8 1 4.0000 0.05728783 3.9341 0.0000 
2026 5 8 2 3.0000 0.05391903 3.9358 0.0000 
2026 5 8 3 3.0000 0.05084343 3.8543 0.0000 
2026 5 8 4 3.0000 0.04834113 3.6951 0.0000 
2026 5 8 5 0.0000 0.03598031 3.4336 0.0000 
2026 5 8 6 0.0000 0.02525914 2.9781 0.0000 
2026 5 8 7 0.0000 0.01680496 2.3484 0.0000 
2026 5 8 8 0.0000 0.01069837 1.6963 0.0000 
2026 5 8 9 4.0000 0.02059856 1.2499 0.0000 
2026 5 8 10 4.0000 0.03056543 1.2314 0.0000 
2026 5 8 11 4.0000 0.03911434 1.6253 0.0000 
2026 5 8 12 4.0000 0.04560073 2.1982 0.0000 
2026 5 8 13 4.0000 0.05012055 2.7445 0.0000 
2026 5 8 14 4.0000 0.05308469 3.1766 0.0000 
2026 5 8 15 4.0000 0.05494332 3.4837 0.0000 
2026 5 8 16 4.0000 0.05606939 3.6872 0.0000 
2026 5 8 17 4.0000 0.05673343 3.8155 0.0000 
2026 5 8 18 4.0000 0.05711654 3.8936 0.0000 
2026 5 8 19 4.0000 0.05733364 3.9397 0.0000 
2026 5 8 20 4.0000 0.05745483 3.9663 0.0000 
2026 5 8 21 4.0000 0.05752162 3.9814 0.0000 
2026 5 8 22 4.0000 0.05755803 3.9899 0.0000 
2026 5 8 23 4.0000 0.05757769 3.9945 0.0000 
