RESERVOIR node 0 HJELLE
reservoir_init_fr= 1.01000  masl=756.863
Filling at HRW [Mm3] = 12.03297
Filling at LRW [Mm3] = 3.00824
Active reservoir capacity [Mm3] = 9.02473
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2026 5 7 0 100.5000 24.8800 0.0000 0.0000 12.3647 757.3308 1.0368 0.0000 2.6400 0.0000 30.7847 0.0000 33.4247 
2026 5 7 1 100.3500 25.8500 0.0000 0.0000 12.5088 757.4745 1.0527 0.0000 0.0000 0.0000 60.3228 0.0000 60.3228 
2026 5 7 2 100.2400 28.0000 0.0000 0.0000 12.5815 757.5471 1.0608 0.0000 0.0000 0.0000 80.0279 0.0000 80.0279 
2026 5 7 3 100.5000 23.0000 0.0000 0.0000 12.6164 757.5818 1.0646 0.0000 0.0000 0.0000 90.8314 0.0000 90.8314 
2026 5 7 4 100.5500 35.0000 0.0000 0.0000 12.6258 757.5912 1.0657 0.0000 4.0000 0.0000 93.9298 0.0000 97.9298 
2026 5 7 5 10.6300 39.0000 0.0000 0.0000 12.4674 757.4332 1.0481 0.0000 4.0000 0.0000 50.6407 0.0000 54.6407 
2026 5 7 6 10.6000 45.0000 0.0000 0.0000 12.3744 757.3405 1.0378 0.0000 4.0000 0.0000 32.4266 0.0000 36.4266 
2026 5 7 7 10.4600 26.5600 0.0000 0.0000 12.3242 757.2904 1.0323 0.0000 0.0000 0.0000 24.4043 0.0000 24.4043 
2026 5 7 8 10.3500 52.9300 0.0000 0.0000 12.2808 757.2471 1.0275 0.0000 4.0000 0.0000 18.4049 0.0000 22.4049 
2026 5 7 9 10.3400 10.9400 0.0000 0.0000 12.2607 757.2271 1.0252 0.0000 0.0000 0.0000 15.9127 0.0000 15.9127 
2026 5 7 10 10.4500 10.0100 0.0000 0.0000 12.2469 757.2133 1.0237 0.0000 0.0000 0.0000 14.2946 0.0000 14.2946 
2026 5 7 11 0.0000 17.9500 0.0000 0.0000 12.2096 757.1762 1.0196 0.0000 0.0000 0.0000 10.3452 0.0000 10.3452 
2026 5 7 12 0.0000 82.5800 0.0000 0.0000 12.1706 757.1373 1.0153 0.0000 4.0000 0.0000 6.8349 0.0000 10.8349 
2026 5 7 13 0.0000 25.5000 0.0000 0.0000 12.1514 757.1181 1.0131 0.0000 0.0000 0.0000 5.3408 0.0000 5.3408 
2026 5 7 14 0.0000 55.8200 0.0000 0.0000 12.1244 757.0911 1.0101 0.0000 4.0000 0.0000 3.5087 0.0000 7.5087 
2026 5 7 15 0.0000 29.3900 0.0000 0.0000 12.1037 757.0706 1.0078 0.0000 3.4000 0.0000 2.3289 0.0000 5.7289 
2026 5 7 16 0.0000 46.9600 0.0000 0.0000 12.0843 757.0512 1.0057 0.0000 4.0000 0.0000 1.3997 0.0000 5.3997 
2026 5 7 17 0.0000 17.5900 0.0000 0.0000 12.0702 757.0371 1.0041 0.0000 3.0800 0.0000 0.8444 0.0000 3.9244 
2026 5 7 18 0.0000 88.3300 0.0000 0.0000 12.0545 757.0215 1.0024 0.0000 4.0000 0.0000 0.3602 0.0000 4.3602 
2026 5 7 19 0.0000 80.8200 0.0000 0.0000 12.0399 757.0069 1.0008 0.0000 4.0000 0.0000 0.0627 0.0000 4.0627 
2026 5 7 20 1.9100 88.8300 0.0000 0.0000 12.0323 756.9994 0.9999 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 21 1.7900 78.9000 0.0000 0.0000 12.0244 756.9914 0.9990 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 22 1.8800 59.9800 0.0000 0.0000 12.0167 756.9838 0.9982 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 7 23 2.0100 50.7100 0.0000 0.0000 12.0096 756.9767 0.9974 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 8 0 4.9400 99.0800 0.0000 0.0000 12.0130 756.9800 0.9978 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 8 1 9.5600 59.4000 0.0000 0.0000 12.0330 757.0000 1.0000 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 8 2 1.4000 16.8900 0.0000 0.0000 12.0272 756.9943 0.9994 0.0000 3.0000 0.0000 0.0000 0.0000 3.0000 
2026 5 8 3 2.1100 18.5200 0.0000 0.0000 12.0240 756.9911 0.9990 0.0000 3.0000 0.0000 0.0000 0.0000 3.0000 
2026 5 8 4 1.0100 27.1000 0.0000 0.0000 12.0169 756.9839 0.9982 0.0000 3.0000 0.0000 0.0000 0.0000 3.0000 
2026 5 8 5 1.5800 18.9700 0.0000 0.0000 12.0225 756.9896 0.9988 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2026 5 8 6 5.0000 16.0000 0.0000 0.0000 12.0403 757.0073 1.0008 0.0000 0.0000 0.0000 0.0689 0.0000 0.0689 
2026 5 8 7 6.0000 13.0000 0.0000 0.0000 12.0600 757.0270 1.0030 0.0000 0.0000 0.0000 0.5143 0.0000 0.5143 
2026 5 8 8 0.0000 11.0000 0.0000 0.0000 12.0584 757.0253 1.0028 0.0000 0.0000 0.0000 0.4658 0.0000 0.4658 
2026 5 8 9 0.0000 12.0000 0.0000 0.0000 12.0568 757.0238 1.0026 0.0000 0.0000 0.0000 0.4232 0.0000 0.4232 
2026 5 8 10 0.0000 13.0000 0.0000 0.0000 12.0555 757.0224 1.0025 0.0000 0.0000 0.0000 0.3857 0.0000 0.3857 
2026 5 8 11 0.0000 16.0000 0.0000 0.0000 12.0542 757.0212 1.0024 0.0000 0.0000 0.0000 0.3525 0.0000 0.3525 
2026 5 8 12 0.0000 12.0000 0.0000 0.0000 12.0396 757.0066 1.0007 0.0000 4.0000 0.0000 0.0588 0.0000 4.0588 
2026 5 8 13 0.0000 13.0000 0.0000 0.0000 12.0252 756.9922 0.9991 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 8 14 0.0000 12.0000 0.0000 0.0000 12.0108 756.9779 0.9975 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
2026 5 8 15 0.0000 11.0000 0.0000 0.0000 11.9964 756.9635 0.9959 0.0000 4.0000 0.0000 0.0000 0.0000 4.0000 
