POWERSTATION node 1 SVOLETJONN
init_Power = 1.01000
penstock_config = SHARED
headloss_coef = 0.300000
yyyy mm dd hh [m3/s]    [Euro/MWh]  [fr_g0] [m3/s] [m3/s] [m] [m] [MWh] [GWh/Mm3] [Euro] [Euro] [Euro] [Euro] [Euro] [Euro]
yyyy mm dd hh Up_Inflow Price Action_g0 tot_outflow auto_qmin Hnetto Hbrutto Power est_eekv income tot_cost startstopCost adjust_cost cost_aggressive_actions profit
2026 5 7 0 2.6400 24.8800 0.6600 2.6400 0.0000 64.9091 67.0000 1.4616 0.1538 36.3647 1.0000 1.0000 0.0000 0.0000 35.3647
2026 5 7 1 0.0000 25.8500 0.0000 0.0000 0.0000 67.0000 67.0000 0.0000 0.0000 0.0000 1.0000 1.0000 0.0000 0.0000 -1.0000
2026 5 7 2 0.0000 28.0000 0.0000 0.0000 0.0000 67.0000 67.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 7 3 0.0000 23.0000 0.0000 0.0000 0.0000 67.0000 67.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 7 4 4.0000 35.0000 1.0000 4.0000 0.0000 62.2000 67.0000 1.9207 0.1334 67.2240 1.0000 1.0000 0.0000 0.0000 66.2240
2026 5 7 5 4.0000 39.0000 1.0000 4.0000 0.0000 62.2000 67.0000 1.9207 0.1334 74.9067 0.0000 0.0000 0.0000 0.0000 74.9067
2026 5 7 6 4.0000 45.0000 1.0000 4.0000 0.0000 62.2000 67.0000 1.9207 0.1334 86.4308 0.0000 0.0000 0.0000 0.0000 86.4308
2026 5 7 7 0.0000 26.5600 0.0000 0.0000 0.0000 67.0000 67.0000 0.0000 0.0000 0.0000 1.0000 1.0000 0.0000 0.0000 -1.0000
2026 5 7 8 4.0000 52.9300 1.0000 4.0000 0.0000 62.2000 67.0000 1.9207 0.1334 101.6619 1.0000 1.0000 0.0000 0.0000 100.6619
2026 5 7 9 0.0000 10.9400 0.0000 0.0000 0.0000 67.0000 67.0000 0.0000 0.0000 0.0000 1.0000 1.0000 0.0000 0.0000 -1.0000
2026 5 7 10 0.0000 10.0100 0.0000 0.0000 0.0000 67.0000 67.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 7 11 0.0000 17.9500 0.0000 0.0000 0.0000 67.0000 67.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 7 12 4.0000 82.5800 1.0000 4.0000 0.0000 62.2000 67.0000 1.9207 0.1334 158.6102 1.0000 1.0000 0.0000 0.0000 157.6102
2026 5 7 13 0.0000 25.5000 0.0000 0.0000 0.0000 67.0000 67.0000 0.0000 0.0000 0.0000 1.0000 1.0000 0.0000 0.0000 -1.0000
2026 5 7 14 4.0000 55.8200 1.0000 4.0000 0.0000 62.2000 67.0000 1.9207 0.1334 107.2126 1.0000 1.0000 0.0000 0.0000 106.2126
2026 5 7 15 3.4000 29.3900 0.8500 3.4000 0.0000 63.5320 67.0000 1.7591 0.1437 51.6986 0.0000 0.0000 0.0000 0.0000 51.6986
2026 5 7 16 4.0000 46.9600 1.0000 4.0000 0.0000 62.2000 67.0000 1.9207 0.1334 90.1954 0.0000 0.0000 0.0000 0.0000 90.1954
2026 5 7 17 3.0800 17.5900 0.7700 3.0800 0.0000 64.1541 67.0000 1.6482 0.1486 28.9912 0.0000 0.0000 0.0000 0.0000 28.9912
2026 5 7 18 4.0000 88.3300 1.0000 4.0000 0.0000 62.2000 67.0000 1.9207 0.1334 169.6541 0.0000 0.0000 0.0000 0.0000 169.6541
2026 5 7 19 4.0000 80.8200 1.0000 4.0000 0.0000 62.2000 67.0000 1.9207 0.1334 155.2298 0.0000 0.0000 0.0000 0.0000 155.2298
2026 5 7 20 4.0000 88.8300 1.0000 4.0000 0.0000 62.1997 66.9997 1.9207 0.1334 170.6136 0.0000 0.0000 0.0000 0.0000 170.6136
2026 5 7 21 4.0000 78.9000 1.0000 4.0000 0.0000 62.1954 66.9954 1.9205 0.1334 151.5308 0.0000 0.0000 0.0000 0.0000 151.5308
2026 5 7 22 4.0000 59.9800 1.0000 4.0000 0.0000 62.1876 66.9876 1.9203 0.1334 115.1798 0.0000 0.0000 0.0000 0.0000 115.1798
2026 5 7 23 4.0000 50.7100 1.0000 4.0000 0.0000 62.1802 66.9802 1.9201 0.1333 97.3670 0.0000 0.0000 0.0000 0.0000 97.3670
2026 5 8 0 4.0000 99.0800 1.0000 4.0000 0.0000 62.1784 66.9784 1.9200 0.1333 190.2353 0.0000 0.0000 0.0000 0.0000 190.2353
2026 5 8 1 4.0000 59.4000 1.0000 4.0000 0.0000 62.1900 66.9900 1.9204 0.1334 114.0704 0.0000 0.0000 0.0000 0.0000 114.0704
2026 5 8 2 3.0000 16.8900 0.7500 3.0000 0.0000 64.2971 66.9971 1.6162 0.1496 27.2976 0.0000 0.0000 0.0000 0.0000 27.2976
2026 5 8 3 3.0000 18.5200 0.7500 3.0000 0.0000 64.2927 66.9927 1.6161 0.1496 29.9299 0.0000 0.0000 0.0000 0.0000 29.9299
2026 5 8 4 3.0000 27.1000 0.7500 3.0000 0.0000 64.2875 66.9875 1.6160 0.1496 43.7924 0.0000 0.0000 0.0000 0.0000 43.7924
2026 5 8 5 0.0000 18.9700 0.0000 0.0000 0.0000 66.9868 66.9868 0.0000 0.0000 0.0000 1.0000 1.0000 0.0000 0.0000 -1.0000
2026 5 8 6 0.0000 16.0000 0.0000 0.0000 0.0000 66.9948 66.9948 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 8 7 0.0000 13.0000 0.0000 0.0000 0.0000 67.0000 67.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 8 8 0.0000 11.0000 0.0000 0.0000 0.0000 67.0000 67.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 8 9 0.0000 12.0000 0.0000 0.0000 0.0000 67.0000 67.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 8 10 0.0000 13.0000 0.0000 0.0000 0.0000 67.0000 67.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 8 11 0.0000 16.0000 0.0000 0.0000 0.0000 67.0000 67.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2026 5 8 12 4.0000 12.0000 1.0000 4.0000 0.0000 62.2000 67.0000 1.9207 0.1334 23.0482 1.0000 1.0000 0.0000 0.0000 22.0482
2026 5 8 13 4.0000 13.0000 1.0000 4.0000 0.0000 62.1961 66.9961 1.9206 0.1334 24.9673 0.0000 0.0000 0.0000 0.0000 24.9673
2026 5 8 14 4.0000 12.0000 1.0000 4.0000 0.0000 62.1850 66.9850 1.9202 0.1333 23.0427 0.0000 0.0000 0.0000 0.0000 23.0427
2026 5 8 15 4.0000 11.0000 1.0000 4.0000 0.0000 62.1707 66.9707 1.9198 0.1333 21.1176 0.0000 0.0000 0.0000 0.0000 21.1176
2026 5 8 16 4.0000 8.0000 1.0000 4.0000 0.0000 62.1635 66.9635 1.9196 0.1333 15.3565 0.0000 0.0000 0.0000 0.0000 15.3565
2026 5 8 17 4.0000 15.0000 1.0000 4.0000 0.0000 62.1563 66.9563 1.9193 0.1333 28.7900 0.0000 0.0000 0.0000 0.0000 28.7900
2026 5 8 18 4.0000 12.0000 1.0000 4.0000 0.0000 62.1420 66.9420 1.9189 0.1333 23.0267 0.0000 0.0000 0.0000 0.0000 23.0267
2026 5 8 19 4.0000 15.0000 1.0000 4.0000 0.0000 62.1276 66.9276 1.9184 0.1332 28.7767 0.0000 0.0000 0.0000 0.0000 28.7767
2026 5 8 20 4.0000 13.0000 1.0000 4.0000 0.0000 62.1132 66.9132 1.9180 0.1332 24.9341 0.0000 0.0000 0.0000 0.0000 24.9341
2026 5 8 21 4.0000 14.0000 1.0000 4.0000 0.0000 62.0989 66.8989 1.9176 0.1332 26.8459 0.0000 0.0000 0.0000 0.0000 26.8459
2026 5 8 22 4.0000 17.0000 1.0000 4.0000 0.0000 62.0845 66.8845 1.9171 0.1331 32.5910 0.0000 0.0000 0.0000 0.0000 32.5910
2026 5 8 23 4.0000 16.0000 1.0000 4.0000 0.0000 62.0702 66.8702 1.9167 0.1331 30.6668 0.0000 0.0000 0.0000 0.0000 30.6668
