CHANNEL node 2 VANAROSEN
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 4.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2026 5 7 0 33.4247 0.12125078 1.4106 0.0000 
2026 5 7 1 60.3228 0.31954852 5.2401 0.0000 
2026 5 7 2 80.0279 0.55758493 13.9066 0.0000 
2026 5 7 3 90.8314 0.78783461 26.8731 0.0000 
2026 5 7 4 97.9298 0.98931701 41.9625 0.0000 
2026 5 7 5 54.6407 0.98571780 55.6405 0.0000 
2026 5 7 6 36.4266 0.88772435 63.6470 0.0000 
2026 5 7 7 24.4043 0.74505669 64.0342 0.0000 
2026 5 7 8 22.4049 0.61518608 58.4801 0.0000 
2026 5 7 9 15.9127 0.49208800 50.1066 0.0000 
2026 5 7 10 14.2946 0.39480427 41.3178 0.0000 
2026 5 7 11 10.3452 0.31199309 33.3483 0.0000 
2026 5 7 12 10.8349 0.25498662 26.6701 0.0000 
2026 5 7 13 5.3408 0.19755569 21.2938 0.0000 
2026 5 7 14 7.5087 0.16338143 17.0016 0.0000 
2026 5 7 15 5.7289 0.13488484 13.6447 0.0000 
2026 5 7 16 5.3997 0.11431968 11.1123 0.0000 
2026 5 7 17 3.9244 0.09532044 9.2019 0.0000 
2026 5 7 18 4.3602 0.08322534 7.7200 0.0000 
2026 5 7 19 4.0627 0.07417629 6.5763 0.0000 
2026 5 7 20 4.0000 0.06795146 5.7291 0.0000 
2026 5 7 21 4.0000 0.06390052 5.1253 0.0000 
2026 5 7 22 4.0000 0.06134643 4.7095 0.0000 
2026 5 7 23 4.0000 0.05978259 4.4344 0.0000 
2026 5 8 0 4.0000 0.05884919 4.2593 0.0000 
2026 5 8 1 4.0000 0.05830411 4.1514 0.0000 
2026 5 8 2 3.0000 0.05448546 4.0607 0.0000 
2026 5 8 3 3.0000 0.05115538 3.9250 0.0000 
2026 5 8 4 3.0000 0.04851115 3.7345 0.0000 
2026 5 8 5 0.0000 0.03607213 3.4553 0.0000 
2026 5 8 6 0.0689 0.02554983 2.9917 0.0000 
2026 5 8 7 0.5143 0.01885172 2.3749 0.0000 
2026 5 8 8 0.4658 0.01414269 1.7738 0.0000 
2026 5 8 9 0.4232 0.01097179 1.3040 0.0000 
2026 5 8 10 0.3857 0.00884975 0.9751 0.0000 
2026 5 8 11 0.3525 0.00740261 0.7545 0.0000 
2026 5 8 12 4.0588 0.01947734 0.7047 0.0000 
2026 5 8 13 4.0000 0.03038693 0.9696 0.0000 
2026 5 8 14 4.0000 0.03928947 1.5271 0.0000 
2026 5 8 15 4.0000 0.04585023 2.1776 0.0000 
2026 5 8 16 4.0000 0.05033806 2.7534 0.0000 
2026 5 8 17 4.0000 0.05324438 3.1927 0.0000 
2026 5 8 18 4.0000 0.05505030 3.4984 0.0000 
2026 5 8 19 4.0000 0.05613704 3.6981 0.0000 
2026 5 8 20 4.0000 0.05677450 3.8229 0.0000 
2026 5 8 21 4.0000 0.05714074 3.8983 0.0000 
2026 5 8 22 4.0000 0.05734757 3.9425 0.0000 
2026 5 8 23 4.0000 0.05746270 3.9680 0.0000 
