Riversystem mini_uTAHPS_hourly reservoir fractions [fr] 
YYYY MM DD HH HJELLE 
2026 5 7 0 1.0368 
2026 5 7 1 1.0527 
2026 5 7 2 1.0608 
2026 5 7 3 1.0646 
2026 5 7 4 1.0657 
2026 5 7 5 1.0481 
2026 5 7 6 1.0378 
2026 5 7 7 1.0323 
2026 5 7 8 1.0275 
2026 5 7 9 1.0252 
2026 5 7 10 1.0237 
2026 5 7 11 1.0196 
2026 5 7 12 1.0153 
2026 5 7 13 1.0131 
2026 5 7 14 1.0101 
2026 5 7 15 1.0078 
2026 5 7 16 1.0057 
2026 5 7 17 1.0041 
2026 5 7 18 1.0024 
2026 5 7 19 1.0008 
2026 5 7 20 0.9999 
2026 5 7 21 0.9990 
2026 5 7 22 0.9982 
2026 5 7 23 0.9974 
2026 5 8 0 0.9978 
2026 5 8 1 1.0000 
2026 5 8 2 0.9994 
2026 5 8 3 0.9990 
2026 5 8 4 0.9982 
2026 5 8 5 0.9988 
2026 5 8 6 1.0008 
2026 5 8 7 1.0030 
2026 5 8 8 1.0028 
2026 5 8 9 1.0026 
2026 5 8 10 1.0025 
2026 5 8 11 1.0024 
2026 5 8 12 1.0007 
2026 5 8 13 0.9991 
2026 5 8 14 0.9975 
2026 5 8 15 0.9959 
2026 5 8 16 0.9959 
2026 5 8 17 0.9943 
2026 5 8 18 0.9928 
2026 5 8 19 0.9912 
2026 5 8 20 0.9896 
2026 5 8 21 0.9880 
2026 5 8 22 0.9864 
2026 5 8 23 0.9848 
